game_pk,policy,reward,challenges,successes
744970,Q-Learning,-0.02,2,0
744973,Q-Learning,0.44,3,1
744976,Q-Learning,0.581,4,2
744996,Q-Learning,0.291,3,1
745000,Q-Learning,-0.02,2,0
745007,Q-Learning,-0.02,2,0
745009,Q-Learning,0.06099999999999991,3,1
745044,Q-Learning,0.2699999999999998,6,4
745051,Q-Learning,0.706,5,3
745052,Q-Learning,0.06099999999999991,3,1
745069,Q-Learning,0.1409999999999999,4,2
745073,Q-Learning,-0.02,2,0
745075,Q-Learning,-0.02,2,0
745078,Q-Learning,-0.02,2,0
745118,Q-Learning,-0.02,2,0
745126,Q-Learning,-0.02,2,0
745135,Q-Learning,1.319,4,2
745139,Q-Learning,-0.02,2,0
745140,Q-Learning,-0.02,2,0
745147,Q-Learning,0.5219999999999998,6,5
745153,Q-Learning,0.18299999999999988,3,1
745184,Q-Learning,-0.02,2,0
745211,Q-Learning,0.604,4,2
745212,Q-Learning,0.3209999999999999,3,1
745229,Q-Learning,0.323,3,1
745237,Q-Learning,-0.02,2,0
745248,Q-Learning,-0.02,2,0
745252,Q-Learning,-0.02,2,0
745287,Q-Learning,-0.02,2,0
745290,Q-Learning,0.59,3,1
745309,Q-Learning,-0.02,2,0
745311,Q-Learning,0.24499999999999988,4,2
745326,Q-Learning,0.6899999999999997,5,3
745328,Q-Learning,-0.02,2,0
745366,Q-Learning,0.487,3,1
745384,Q-Learning,0.374,3,1
745385,Q-Learning,0.024999999999999994,3,1
745388,Q-Learning,0.07200000000000001,3,1
745391,Q-Learning,-0.02,2,0
745392,Q-Learning,-0.02,2,0
745394,Q-Learning,-0.02,2,0
745395,Q-Learning,-0.02,2,0
745401,Q-Learning,-0.02,2,0
745402,Q-Learning,0.2799999999999998,5,4
745403,Q-Learning,1.803,6,4
745452,Q-Learning,0.06099999999999991,3,1
745454,Q-Learning,-0.02,2,0
745456,Q-Learning,0.06099999999999991,3,1
745458,Q-Learning,0.0649999999999999,3,1
745469,Q-Learning,-0.02,2,0
745479,Q-Learning,-0.02,2,0
745483,Q-Learning,-0.02,2,0
745521,Q-Learning,0.060000000000000005,3,1
745527,Q-Learning,0.6519999999999995,6,5
745534,Q-Learning,-0.02,2,0
745537,Q-Learning,0.060000000000000005,3,1
745543,Q-Learning,-0.02,2,0
745545,Q-Learning,0.07200000000000001,3,1
745560,Q-Learning,0.06099999999999991,3,1
745561,Q-Learning,0.2219999999999998,5,3
745564,Q-Learning,0.06099999999999991,3,1
745565,Q-Learning,-0.02,2,0
745568,Q-Learning,-0.02,2,0
745570,Q-Learning,-0.02,2,0
745606,Q-Learning,-0.02,2,0
745627,Q-Learning,-0.02,2,0
745633,Q-Learning,-0.02,2,0
745636,Q-Learning,0.6,3,1
745637,Q-Learning,-0.02,2,0
745641,Q-Learning,0.06099999999999991,3,1
745648,Q-Learning,0.374,3,1
745651,Q-Learning,0.024999999999999994,3,1
745655,Q-Learning,0.1009999999999999,4,2
745699,Q-Learning,-0.02,2,0
745715,Q-Learning,0.19399999999999998,3,1
